Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
SunSource,888-786-7723,https://www.sun-source.com/,"Addison, IL 60101 | Locations",Distributor,"Distributor of hydraulic, pneumatic, motion control and fluid process products. Actuators, accumulators, pumps, motors, cylinders, manifolds, valves, coolers, reservoirs, power units, drives, seats, brakes, clutches and winches are available. Filter carts, kits, clamps, disconnects, gauges, air prep units, grippers, switches, vacuum components, controls or controllers, tubing, fittings, boosters, transducer, corrosion resistant piping, mixers, heaters and tank are also offered. Seals, transformers, sensors, cables, relays, contactors, pilot devices, gear boxes, HMI panels or control panels, computers, safety devices, robots, filters, separators, strainers, collectors, breathers, hose, gaskets, joints, fasteners and lubrication systems are provided. Serves the OEM or MRO, mobile machinery, mining, automotive, construction, aerospace, defense, packaging, municipal, forestry, food or beverage, oil and gas industries.","SunSource is one of North America's leading fluid power distribution companies, providing products, services and information in hydraulics, pneumatics, filtration, automation systems, and related industrial components, serving both the industrial and mobile equipment markets. The foundation for SunSources impressive reputation has been built by merging a select group of distribution companies. Each had a proven track record of serving their customers well and being the industry leader in their geographic region. You may have known SunSource under some of these other well known names including: Activation, Air-Draulics, Air-Dreco, Callahan Weber, DJ Industrial, Fauver, Fluid Power Tech, Fluid Process Equipment, Ford-Gelatt, Hydraulic Specialists, Northwest, Pabco, Paragon Technologies, Perfection Servo Hydraulics, TOPSSCo, Walter Norris, Warden Fluid Dynamics, Warren, Western Hydrostatics and Wistech. We recognize the brand equity in those Company names and in many cases; we are bringing More... them back under the SunSource umbrella.

 Today, the company has taken the strengths of the combined companies to represent over 300 quality manufacturers. We provide over 150,000 products, and support them with a wide range of services including design and application engineering, technical training, engineered fabrication, and repair service. 

 SunSource is recognized as one of the largest independent companies in the industry. We are the recognized leader in the mobile customer segment, and our industrial businesses have great geographic market coverage. 

 Our capabilities in engineering and fabrication, coupled with a technologically capable sales force, allow us to provide significant value added products and services to our customers. Less",www.linkedin.com/company/sunsource/careers,$100 - 249.9 Mil,1000+  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace
Gauges: Automotive
Gauges: Dial


Gauges: Differential Pressure
Gauges: Hydraulic
Gauges: Industrial
Gauges: McDaniel
Gauges: Measuring

View all Gages categories","All Products / Services

Accumulators
Actuators
Adapters
Air Filtration Equipment & Supplies
Automation Systems
Boosters
Brakes
Breathers
Clamps
Clutches


Collectors
Computers
Connectors
Contactors
Controls and Controllers
Coolers
Couplers and Couplings
COVID-19 Response
Cylinders
Disconnects

View all products / services offered"
Weschler Instruments - Div. of Hughes Corp.,800-557-0064,https://www.weschler.com/,"Cleveland, OH 44149",Distributor,"Distributor of measurement and control equipment. Products include meters, indicators, relays, timers, transducers, transformers, shunts, sensors, isolators, conditioners, transmitters, calibrators, testers, multimeters, recorders, analyzers and stroboscopes. Applications include power plants, steel mills, chemical plants and paper mills.","For more than 70 years, Weschler Instruments has been a service-oriented manufacturer and distributor of electrical and electronic measuring instruments.  Customers worldwide use our products in power generating plants, steel mills, chemical plants, paper mills, automobile factories and other industrial applications that require rugged, reliable and accurate instrumentation.  Weschler is best known as the supplier of Westinghouse style analog switchboard meters and unique digital Bargraph meters. 

Weschler supplies a wide range of products to sense, transmit, measure, display and record your power and process data. Key products include analog and digital panel meters, sensors, transducers, controllers, and more. Industry turns to Weschlers Application Specialists to help choose the best solution from the numerous products available today.  We carry products from over 50 manufacturers, so we can recommend the product that best fits the application.  Weschler is North Americas largest More... distributor of analog and digital panel meters.  Were proud to have one of the most knowledgeable inside sales support teams in the industry, averaging over 24 years experience.

 Whether your application is best served by a Weschler product or one of the many products we distribute, our sale specialists will be happy to work with you to solve your measurement and control needs. Less",,$5 - 9.9 Mil,50-99  Employees,"Gauges: Electronic
Gauges
Gauges: Digital Pressure
Gauges: Industrial


Gauges: Liquid Filled
Gauges: Pressure
Gauges: Stainless Steel
Gauges: Ultrasonic Thickness","All Products / Services

Accelerometers
Alarms
Ammeters
Analyzers
Beams
Bridges
Cabinets
Calibrators
Cameras
Cells
Clocks


Cold Chain Equipment
Communication Systems
Conditioners
Controls and Controllers
Converters
Corrosion Resistant Products
Counters
COVID-19 Response
Data Loggers
Displays
Electronics

View all products / services offered"
"Sika USA, Inc.",262-886-2695,https://sika-usa.com/,"Mt Pleasant, WI 53177",Manufacturer,"Manufacturer of measuring and control instruments. Products include flow switches, industrial/dial/digital thermometers, vortex/magnetic-inductive/turbine flow sensors, temperature sensors, level switches, and temperature/pressure calibrators.","Since its foundation, SIKA has been successfully active in the market with the development, production, and sale of measuring, monitoring, and calibration devices for the measurement variables temperature, pressure, flow, humidity, and level. Our products combine our know-how grown over generations and comprehensive market knowledge with innovative solutions for measuring tasks of all kinds. For over 115 years we have been manufacturing our products at our company headquarters in the heart of Germany - that is quality ""Made in Germany"".

We develop and produce trendsetting and innovative measuring and calibration technology. Modern testing technology in the SIKA Flow-Labs guarantees high-quality and reliable quality assurance in development and series testing as well as in co-engineering with our customers. Our in-house DAkkS laboratory for temperature, pressure, and electrical standard signals also offers you a comprehensive range of services for the recalibration of sensors and calibrators. More... Less",www.linkedin.com/company/sika-usa-incorporated,$1 - 4.9 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Bourdon Tube
Gauges: Digital Pressure
Gauges: High Pressure


Gauges: Indicating
Gauges: Industrial
Gauges: Marine
Gauges: Measuring
Gauges: Pressure

View all Gages categories","All Products / Services

Calibrators
Controls and Controllers
Flowmeters
Gages
Indicators
Inserts
Instruments
Measures
Measuring Equipment


Pumps
Rolls and Rollers
Scanners / Readers
Sensors / Detectors / Transducers
Simulators
Switches
Thermometers
Transmitters
Tubes"
"Kampi Components Co., Inc.",215-736-2000,http://www.kampi.com,"Fairless Hills, PA 19030",Distributor,"Distributor of replacement spare parts. Various products include AC & DC motors, air conditioners, engine parts, antennas, fasteners, assemblies, headsets, microphones, batteries, bearings, belts, hose, brackets, braided cords, ropes, bushings, casters, chains, clamps, condensers, connectors, control assemblies, couplings, cylinders, fittings, gaskets and gages. Gears, generators, handles, hinges, indicators, marine products, plugs, pins, power supplies, rotors, shafts, seals and switches are also available. Various industries served include military, industrial, commercial, aerospace, electronic, marine, automotive, heavy vehicle and hardware.","From it's humble beginnings, Kampi has grown to be an industry leader by offering services to OEM's and manufacturers whom require the expertise of a military distributor capable of managing complex government contracts and procedures. Kampi is a multi-million dollar company which provides distribution management services relating to military logistical support. Kampi's services enable manufactures and OEM's to offer their products at the best value to the military end user. Incorporated in 1984, Kampi has become one of the world's largest military shipping companies and a leading provider of specialized military packaging and logistical services. Kampi employs approximately 65 people who are engaged in the procurement, inspection, testing, packaging and transportation of products intended for U.S. military use. The company has prospered in the past 30 years as a leader in military equipment and parts distribution, but it has also faced many economic challenges in its history. There have More... been reductions in U.S. manufacturing sources, global and U.S. economic instability, as well as fierce global competition over government spending dollars for U.S. military spares. Despite these challenges, Kampi has kept a firm grip on its market share. In addition, the evolving methods used by the Department of Defense to procure military end use material, along with the tight competition for government spares contracts was especially hard on many military distributors. It was during this time that Kampi met and passed several key challenges. While other competitors fell by the wayside, Kampi has managed not only to remain strong, but to continue to grow. In 2000, Kampi relocated to a state of the art 25,000 square foot distribution facility located in Fairless Hills, PA. Kampi Components is now a distribution company with one of the most recognized names in the Defense Logistics Agency and Department of Defense community. Kampi's commitment to success in the future is firmly under way by continuing to invest in the technology, equipment, and personnel training necessary to set it apart from the crowd. Less",,$100 - 249.9 Mil,50-99  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace


Gauges: Automotive
Gauges: Marine
Gauges: Military Specification","All Products / Services

Absorbers
Actuators
Airframes
Analyzers
Antennas
Assemblies
Batteries
Bearings
Belts
Blocks
Bolts
Brackets


Bulkheads
Bushings
Cable Components
Canisters
Capacitors
Caps
Cases
Casters
Centrifuges
Chains
Chillers
Chocks

View all products / services offered"
Dixon & Ryan Corp.,248-549-4000,http://dixonryan.com/,"Royal Oak, MI 48073",Service Company,"Gage Calibration & Repair, Precision Tool Repair Service",,,Under $1 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Depth
Gauges: Dial


Gauges: Gear Tooth
Gauges: Height","All Products / Services

Gages
Indicators


Maintenance and Repair Services
Micrometers"
"Russtech Engineering Company,Inc",949-472-0880,https://www.russtechengineering.com/,"Irvine, CA 92618",Manufacturer,"Manufacturer of electromechanical components and tools for aerospace industry. Products include back shells, tooling, connectors, hardware, jumpers, kits, stands, switches, tools, actuators and wire tools. Markets served include commercial, military and industrial sector.",,,Under $1 Mil,1-9  Employees,Gauges: Electronic,"All Products / Services

Actuators
Backshells
Connectors
Controls and Controllers
Electrical Equipment
Gages
Hardware


Jumpers
Kits
Stands
Switches
Tooling
Tools
Wire Tools"
Suncoast Tool & Gage,727-572-8000,http://www.suncoasttool.com,"Clearwater, FL 33760",Custom Manufacturer,"Designers & Builders Of Custom Gages, Tools, Fixtures. CAD/CAM. CMM. Large Wire EDM. CNC Machining. 720-SIP Jigbore. Wet, Jig, ID/OD Grinding. Turbine Tooling Experience",,,Under $1 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: American Gauge Design (AGD) Standard
Gauges: Bore
Gauges: Camshaft


Gauges: Comparator
Gauges: Compound
Gauges: Concentricity
Gauges: Contour
Gauges: Custom

View all Gages categories","All Products / Services

Calibration Services
Casting Services
Centers
Dies
Engineering Services
Fabrication Services
Finishing Services
Fixtures
Gages
Grinding Services


Inspection Services
Jigs
Lasers
Machining
Maintenance and Repair Services
Measuring Equipment
Milling Services
Research, Design and Development Services
Tool and Die Services
Tools

View all products / services offered"
"Automation Products Group, Inc. (APG SENSORS)",888-525-7300,https://www.apgsensors.com/,"Logan, UT 84321",Manufacturer,"ISO 9001:2000 certified manufacturer of measurement instruments. Products include cable suspended float switches, digital pressure gauges, float switches, float liquid level sensors, float liquid level switches, flow sensors, flow switches, hammer unions, level float switches, level sensors, level transducers, level transmitters, magneto-restrictive level switches, monitors, alarms, controllers, peddle-wheel level switches, pneumatic level switches, pressure comparators/calibrators, pressure sensors, pressure transducers, pressure transmitters, submersible pressure level sensors, displacement transducers, relays, ultrasonic level sensors, ultrasonic sensors & vibratory level switches. Avionics products include phase sequence testers, phase sequence indicators, stud or flange mount flashers & panel mount flashers. Applications include aggregation, agriculture, aviation, brewing, car wash, cement processing, drilling installation, fluid power/hydraulics, food processing, iron & steel manufacturing, oil, gas & petroleum processing, plastics, semiconductor manufacturing, sugar refinery & water & waste water treatment. Products are available with a warranty of 18 months.",,,$5 - 9.9 Mil,50-99  Employees,"Gauges: Electronic
Gauges
Gauges: Compound
Gauges: Digital Pressure
Gauges: Gas Pressure


Gauges: High Pressure
Gauges: Hydraulic
Gauges: Liquid Level
Gauges: Low Pressure
Gauges: Pressure

View all Gages categories","All Products / Services

Alarms
Amplifiers
Barriers
Calibrators
Cold Chain Equipment
Comparators
Controls and Controllers
Data Loggers
Floats
Flowmeters


Gages
Indicators
Instruments
Meters
Monitors
Regulators
Relays
Sensors / Detectors / Transducers
Signals
Sonic Devices

View all products / services offered"
AMADA WELD TECH INC.,866-751-7378,https://amadaweldtech.com/,"Monrovia, CA 91016",Manufacturer,"Manufactures equipment and systems for resistance welding, laser welding, laser marking, heat seal bonding, atmosphere control and hermetic sealing for the global electronics, laser micromachining, battery, automotive, medical device and general industrial markets.","Since 1948, AMADA WELD TECH has worked to achieve one goal: to solve our customer's manufacturing challenges. Knowing that there is no one solution that fits all, we strive to provide our customers with innovative and reliable manufacturing technology solutions so that we may be their single source provider.

Our headquarters is located in Monrovia, California with state-of-the-art facilities for developing, producing and servicing the solutions offered to our worldwide customer base. A global company, AMADA WELD TECH also has sales offices and applications laboratories located in Wixom, Michigan and El Paso, Texas.

Our products are proudly built in the USA.

One of the things that make AMADA WELD TECH unique among our competitors is our technical center staff and capabilities. AMADA WELD TECH's engineers have extensive experience with applications across many different industries. That experience, coupled with the broad range technologies offered by AMADA WELD TECH, enables them to recommend More... the best solution for your specific application based on process requirements, production space, and budget. Customer support programs such as application and process development, material evaluation and part design review, local sales support via our network of trained professionals, solutions for specific market sectors, field service, preventative maintenance, and factory service and calibration, are designed to provide our customers with the highest level of service available in the industry. Less",www.linkedin.com/company/64305/,$50 - 99.9 Mil,100-199  Employees,"Gauges: Electronic
Gauges
Gauges: Force Measuring


Gauges: Industrial
Gauges: Welding","All Products / Services

Analyzers
Bonders
Boxes
Checkers
Compactors
Controls and Controllers
COVID-19 Response
Cutters and Cutting Machinery
Electrodes
Enclosures
Engraving Equipment
Gages


Gloves
Heads
Lasers
Machinery
Machining Equipment
Markers and Marking Equipment
Mechanical Inverters
Medical Personal Protective Equipment (PPE)
Modular Systems
Monitoring Systems
Monitors
Motor Controllers and Drives

View all products / services offered"
Pneumercator Inc,631-293-8450,https://www.pneumercator.com/,"Hauppauge, NY 11788",Manufacturer,"Manufacturer of liquid level gages, indicators & controls.","Pneumercator has been in business since 1914. We are a manufacturer or tank management systems, digital tank monitoring, leak detection systems, audible alarm controls, liquid level switches, liquid level transmitters, water sensors, hydrocarbon sensors, pressure sensors, software & gauges.",www.linkedin.com/company/pneumercator-inc.,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Automatic Control
Gauges: Continuous Process
Gauges: Custom
Gauges: Depth


Gauges: Diesel Fuel
Gauges: Fuel
Gauges: Gasoline
Gauges: Indicating
Gauges: Liquid Level

View all Gages categories","All Products / Services

Controls and Controllers
Gages


Indicators
Sensors / Detectors / Transducers"
S. Himmelstein and Company,800-632-7873,https://www.himmelstein.com/,"Hoffman Estates, IL 60169",Manufacturer,"Production & Performance Test Systems For Torque, Speed, Power, Product Efficiency, Mechanical Energy, Motors & Engines, Transmissions, Pumps & Compressors, Leakage, Runout Gaging, Shim Selection, Fastener Torque & Production Statistics. Transducers For Torque, Speed, Force, Pressure, Displacement. Microprocessor Systems For Data Acquisition, Measurement Of Torque, RPM, Power, Energy, Temperature, Force, Flow Pressure, Weight Displacement, Time Velocity, Volts, AMPS, Watts, Frequency, Efficiency, Counting, Classification","S. Himmelstein and Company is a U.S. manufacturer of torque sensors and signal conditioners. Focused solely on torque since 1960, Himmelstein boasts an expansive product line and a highly accurate knowledge base. Located in Hoffman Estates, Illinois, Himmelstein continues to enhance and improve our torque sensors to provide the best torque measurement solutions.

The Himmelstein Advantage

Best real-world accuracy of any torquemeter, torque sensor, or torque transducer.

S. Himmelstein and Company has been designing and manufacturing the world's best torque measurement transducers and instrumentation since 1960. Our products offer significant advantages over competitive models, enhancing their overall performance under real-world conditions, not just in the calibration stand.

Highest available mechanical overloads:

Select from 200 percent, 400 percent, 500 percent and 1,000 percent overload models. The flexibility to select sensor mechanical overload allows optimal sizing of the sensor to More... suit the application, even in the presence of peak torques that exceed the average running torque. This ensures the best measurement accuracy for the application. For assistance is sizing/selecting the proper torque sensor, please refer to our bulletin entitled Choosing the Correct Torque Transducer.

 High Electrical Overrange:

 All Himmelstein torque transducers and instruments with high-level DC analog output voltages have significant electrical overrange (130 percent to 300 percent depending on model). All rotating mechanical systems have oscillatory signals. When operating at or near full scale, insufficient overrange on the output signal will cause clipping of the peak values and result in an incorrect display of the average torque. By offering significant electrical overrange, Himmelstein transducers provide accurate measurement, even beyond full scale. 

 Himmelstein bearingless torque flanges are the best choice for dynamic measurement and control. That's because the world's highest torsional stiffness yields wider installed bandwidth and faster installed response than any competitive device. Our flanges also feature the industry's highest overrange and greatest isolation from clamping and other extraneous loads. Those features reduce errors from clipped torque peaks and parasitic loads. 

 Superior temperature compensation results in sensor temperature performance that greatly reduces errors caused by drive heating and thermal gradients. This level of temperature performance allows S. Himmelstein and Company to offer dual-range torque transducers with high accuracy. 

 Learn the benefits of Himmelstein's dual-range sensors. Less",www.linkedin.com/company/s-himmelstein-and-company/,$10 - 24.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Displacement
Gauges: Eccentricity


Gauges: Force Measuring
Gauges: Torque","All Products / Services

Amplifiers
Analyzers
Calibration Services
Cells
Conditioners
Controls and Controllers
Counters
Data Acquisition Systems
Dynamometers
Gages
Indicators


Instruments
Measuring Equipment
Meters
Readout Systems
Recorders
Sensors / Detectors / Transducers
Testers
Torsiometers
Transformers
Transmitters"
KOBOLD Instruments Inc.,800-998-1020,https://koboldusa.com,"Pittsburgh, PA 15205",Manufacturer,"Manufacturer of sensors and controls for liquid and gas applications. Products include switches and transmitters, fittings, relays, flow, level, temperature and pressure controls and sensors.",,,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges


Gauges: Industrial","All Products / Services

Controls and Controllers
Flowmeters
Gages
Measuring Equipment
Monitors


Recorders
Regulators
Sensors / Detectors / Transducers
Switches
Transmitters"
"Paul N. Gardner Co., Inc.",800-762-2478,https://www.gardco.com/,"Pompano Beach, FL 33060",Manufacturer,"Manufacturer and distributor of physical testing instruments for various industries including automotive, aerospace, petroleum, specialty chemical, food, plastics, pharmaceuticals, cosmetics, NDT, textiles, corrosion and protective coatings, and construction markets. Products include abrasion, adhesion, color and gloss, film thickness, impact and flexibility, and optical testers with various features and specifications. Meets ASTM standards.","The Paul N. Gardner Company has been providing quality physical testing instruments to the coatings and related industries since 1936. The company's website offers thousands of testing instruments along with prices, instructions and specifications. Our experienced sales team provides excellent customer service while assisting customers in finding instruments and supplies suitable for their specific needs. We greatly appreciate the business our customers bring and look forward to doing business with you in the future.",www.linkedin.com/company/paul-n-gardner-company-inc-?trk=top_nav_home,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gaging Systems
Gauges
Gauges: Aircraft & Aerospace
Gauges: Automotive


Gauges: Chemical
Gauges: Coating Thickness
Gauges: Combined Indicating & Recording
Gauges: Comparator
Gauges: Dial

View all Gages categories","All Products / Services

Ammeters
Analyzers
Applicators
Attachments
Automation Systems
Automotive Parts
Balances
Barometers
Baths
Beakers


Blades
Blenders
Books
Borescopes
Boxes
Brushes
Calculators
Calibrators
Calipers
Cases

View all products / services offered"
Control Gaging Inc.,734-668-6750,http://www.controlgaging.com,"Ann Arbor, MI 48108",Manufacturer,"Manufacturer of gaging systems for aircraft/aerospace, bearing and motorcycle manufacturing, pumps, compressors, engines, automotive, electronic/electric, marine, truck/tractor and medical industries. Products include grinding wheel balancers, and post process, centerless, ID, OD and disc grinder gages.",,,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gaging Systems
Gauges
Gauges: Automatic Control
Gauges: Automotive


Gauges: Bore
Gauges: Camshaft
Gauges: Crankshaft
Gauges: Cylindrical
Gauges: Diameter

View all Gages categories","All Products / Services

Balancers
Controls and Controllers


Gages
Measuring Equipment"
CGS Precision Technologies,612-615-5702,http://www.CGSPT.com,"Webster, NY 14580",Custom Manufacturer,"CNC machining and global procurement organization providing manufacturing and supply chain solutions. Provides CGS services for aerospace and defense, automotive, and semiconductor equipment industries. Serves from prototype to production.","CGS is an American-based CNC machining and global procurement organization dedicated to providing manufacturing and supply chain solutions to our customers on a global scale. With facilities in Webster, NY and Penang, Malaysia, CGS services the Aerospace and Defense, Automotive, and Semiconductor Equipment industries. From prototype to production, CGS has the resources and expertise to be your supplier of choice.",www.linkedin.com/company/cgspt/,$10 - 24.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace
Gauges: Automotive
Gauges: Custom


Gauges: Fixture
Gauges: In-Process
Gauges: Inspection
Gauges: Precision
Gauges: Process","All Products / Services

Aerospace Components
Assemblies
Assembly Services
Automotive Parts
Boring Services
Broaching Services
Cutting Services
Dies
Drilling Services
Electronic Components


Fabrication Services
Fixtures
Gages
Jigs
Job Shop Services
Knurling Services
Machine Tool Parts and Accessories
Machinery Parts
Machining
Manufacturing Services

View all products / services offered"
"BrandTech Scientific, Inc.",877-838-0070,http://www.brandtech.com,"Essex, CT 06426",Manufacturer,"Manufacturer and stocking distributor of liquid handling, life science and vacuum products, labware, laboratory support jacks and pumps. Various products include bottle-top dispensers, pipettes, micro pipettors, bottle top burettes, pipette controllers, aspirators and quiet oil-free vacuum pumps, vacuum gages and controllers, cuvettes, PCR tubes, strips and plastics, microplates, beakers, buckets, plastic bottles, screw caps, cones, graduated cylinders, buckets, funnels, flasks, microplates, pitchers, plates, reservoirs and tubes. Made from styrene acrylonitrile copolymer, polymethylmethacrylate, polycarbonate, polyoxymethylene, low-density polyethylene, high density, polyethylene, polypropylene, polymethylpentene, ethylene-chlorotrifluoroethylene copolymer, perfluoroethylene, propylene copolymer and perfluoroalkoxy copolymer (PFA).",,www.linkedin.com/company//brandtech-scientific-inc.,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Absolute Pressure
Gauges: Digital Pressure
Gauges: High Pressure


Gauges: Industrial
Gauges: Low Pressure
Gauges: Pressure
Gauges: Vacuum
Gauges: Vacuum, Digital

View all Gages categories","All Products / Services

Analyzers
Aspirators
Beakers
Bottles
Buckets
Burets
Caps
Centrifuges
Cleaning Compounds and Chemicals
Containers


Controls and Controllers
COVID-19 Response
Cuvettes
Cylinders
Dehydrators
Dispensers
Disposable Products
Educational Products
ETFE Products
Evaporators

View all products / services offered"
Valin Thermal Solutions & Automation,281-351-4328,https://www.thermalsolutionsoftexas.com/,"Houston, TX 77086 | Locations",Manufacturer,"Stocking distributor of electric heaters, sensors, controls, mold protection products, control panels & consoles, thermal insulation, transducers and accessories. Manufacturer of standard and custom heaters, control panels and consoles and transducers. Custom manufacturer of packaged systems including fuel gas systems, hot oil systems, tanks, vaporizers, ASME vessels, ovens, control panels, lab panels, skids and hot plates. Control software can be customized as per specifications. Capabilities include repair and evaluation, maintenance, instrument calibration, inventory control management, custom control programming, vessel fabrication & welding, turn-key thermal systems and on-site training. Industries served include plastics, oil/gas, research/development, waste-water treatment, aerospace, laboratory, foundry, power generation, medical, paper/pulp and general manufacturing",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Dial
Gauges: Digital Pressure
Gauges: Indicating


Gauges: Measuring
Gauges: Pressure
Gauges: Process
Gauges: Strain","All Products / Services

Adhesives
Agents
Alarms
Beads
Blankets
Blocks
Blowers
Boxes
Bushings
Calibration Services


Calibrators
Cleaning Compounds and Chemicals
Coils
Cold Chain Equipment
Compounds
Conditioners
Connectors
Consoles
Contactors
Contractors

View all products / services offered"
Cincinnati Automation Ltd.,859-371-5070,https://www.cincinnatiautomation.com/,"Florence, KY 41042",Service Company,"Inspection, automation, and test systems integrator. Products include automated, general purpose, and robotic inspection, automated gaging, assembly and check, and auto ID and scanner systems. Utilizes various technologies such as PC and PLC-based controls, data collection, machine vision cameras, laser measurement sensors, servos, and robots. Custom automated inspection systems are also available. Serves the automotive, consumer product, medical, pharmaceutical, and aerospace industries. Programming, mechanical design and build, and engineering services are provided.","Cincinnati Automation was founded in 1993 to provide programming and systems integration services for the new and rapidly developing machine vision technology. Early projects included CA inspection solutions using PC-based frame grabber boards, CCD cameras and programmable I/O devices. Over time, CA added inspection functionality, data collection, and a new graphical user interface. These features led to the 1998 introduction of CA's revolutionary EZVision Product family. As machine vision technology continued to expand into smart cameras, CA accepted the changes and in 2002 began to offer vision integration services for customer's interested in Cognex, DVT, Keyence and other brands. Project requirements grew to complete automated inspection machines, so CA added mechanical design and build a capability to their engineering resources.

Today, CA offers turnkey inspection, automation and test machines that utilize: PC and/or PLC based controls, data collection, machine vision cameras, laser More... measurement sensors, load cells, LVDTs, pressure and leak detectors, servos, robots, laser etching, conveyors, feeder bowls and a host of other components required to meet customer's ever increasing demands. Many of these projects, machine photos, and real customer feedback are summarized on this website. Chances are, Cincinnati Automation can help you with your company's next inspection, automation or component test project. Click on the free evaluation tab to get started or contact us directly to discuss your project scope and requirements. Less",www.linkedin.com/company-beta/6258678/,$1 - 4.9 Mil,1-9  Employees,"Gauges: Electronic
Gaging Systems
Gauges
Gauges: Aircraft & Aerospace
Gauges: Automotive


Gauges: Brake
Gauges: Checking
Gauges: Concentricity
Gauges: Contact
Gauges: Custom

View all Gages categories","All Products / Services

Assembly Machinery
Automation Systems
Boxes
Cabinets
Custom Machinery
Gages
Handling Equipment
Identification Products
Identifiers
Imaging Equipment


Inspection Equipment
Integration Services
Lasers
Machine Vision Systems
Machinery
Markers and Marking Equipment
Measuring Equipment
Packers
Processors
Profilers

View all products / services offered"
"Travers Tool Co., Inc.",718-886-7200,https://www.travers.com/,"Flushing, NY 11354 | Locations",Distributor,"Distributor of metalworking tools and industrial supplies. Available selection includes deburring tools, adhesives, automotive tools, radios, lubricants, cutting tools, fasteners, fluid power, hand and power tools, industrial machinery, industrial electrical equipment and supplies, material handling equipment, measuring tools, raw materials, safety supplies, storage equipment, technical reference materials, workholding products, welding and soldering equipment, and woodworking tools. Accessories and wooden cases are available. Also can provide services such as measuring tool and inspection instrument calibration, equipment leasing and tool resharpening and reconditioning. Serves the metalworking and manufacturing industries.","We are committed to ensuring that you have the best possible experience each time you interact with us. That includes helping with technical questions, finding the right tool  even if it's not in our catalog  or going that extra mile to ensure your tools are there on time. Every customer experience should be a ""WOW"" moment. If it's not, let us know!

If you are unsatisfied with your order for any reason, return it for a replacement or a refund of the purchase price. That means no restocking fees or paying for shipping on the replacement item. There are only three rules 

  Items must be in new condition

  Items must be returned with all original packaging and accessories

  You let us know you want to return it within 90 days of your purchase date

If you require a replacement item, it will be shipped out the same day if it's in stock. If paying by credit card, the replacement order WILL be charged to your card and a credit issued shortly after the return item arrives back in our facility. More... Return shipping is on us. You will be provided with a pre-paid UPS or USPS domestic label to return the purchase to us. As always, there is an exception  any non-stock or custom order is subject to additional conditions. Less",,$10 - 24.9 Mil,200-499  Employees,"Gauges: Electronic
Gauges
Gauges: Angular Measuring
Gauges: Bore
Gauges: Brown & Sharpe


Gauges: Carbide
Gauges: Dial
Gauges: Feeler
Gauges: Fowler
Gauges: Height

View all Gages categories","All Products / Services

Abrasive Compounds / Media
Absorbers
Additive Manufacturing Materials
Adhesives
Aerators
Aluminum
Anchors
Angles
Anti-Seize
Arbors


Attachments
Balls
Bars
Bases
Baskets
Belts
Benches
Benders
Bins
Bits

View all products / services offered"
"J & N Metal Products, LLC",812-864-2600,http://www.jnmetalproducts.com/,"Brazil, IN 47834",Custom Manufacturer,"ISO 9001:2008 certified custom manufacturer of metal parts, assemblies & accessories. Various products include appliances, assemblies, batteries, boilers, brackets, bushings, cabinets, dies, doors, drawers, enclosures, thin film, fixtures, fittings, dummy missiles, electronic mount, trigger bar and dash assemblies, connector tubes, power distribution and crew's boxes, L-band antenna mountings, timing rings, digital video recorders (DVRS) and stabilizers. Capabilities include CNC turning and vertical milling, mechanical and electromechanical assembly, metal coating, MIG, TIG and stick welding, multi-axis 2D and 3D laser cutting, sheet metal fabricating and wire EDM. JIT delivery.",,,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace


Gauges: Automotive
Gauges: Custom
Gauges: Refrigeration","All Products / Services

Acrylic
Additive Manufacturing Services
Aerospace Components
Agricultural Equipment
Aircraft Parts
Aluminum
Anodizing Services
Antennas
Appliance Parts
Appliances
Assemblies
Assembly Services


Automotive Parts
Baskets
Batteries
Benders
Bending Services
Blanks
Boat and Ship Parts
Boilers
Boring Services
Boxes
Brackets
Brakes

View all products / services offered"
